1,北京,8191,8123,14158,15521,13458,14177,12606,11707,14134,11627,13020,12656,9996,4655,8589,10685,9986,11682,13341,11699,10644,8876,9683,8603,5870,2362,5606,4759,8535,7086,4348,2518,3620,3682,6271,6044,5438,6272,12854,15699,13395,12950,13070,11119,9105,10496,13090,13443,7638,4261,7379,8367,2692,2374,3690,4044,8997,4774,4879,9073,5981,2724,2721,2781,4619,4602,3640,3474,3281,3049,3018,4045,1120,1962,5555,4702,6388,7482,7990,7320,7052,6828,6427,8921,7517,3338,8764,4032,4184,5438,4161,6491,9091,4559,2910,4016,4061,788,4550,3423,3078,2899,3784,6001,3059,6888,8691,8956,5402,3231,2920,5315,4905,5819,10014,4523,4525,4783,4170,6715,3013,1714,2712,3108,2906,2815,3311,4601,3171,1993,2688,3106,1168,1910,1538,1282,1312,1456,1251,899,1109,1059,709,3232,1347,870,971,1161,2144,1539,1367,2081,2526,1170,3783,3005,2502,1676,2994,2623,8508,6068,4581,3966,2725,3534,3881,3113,3103,925,1529,2812,3328,3507,4014,5605,5250,4218,8301,0,0,0,0,0,0,0,0
2,天津,3755,2046,3666,4486,5705,5419,4714,4579,5500,5475,5966,5984,5150,2860,3424,4952,5383,5777,5137,7889,8950,5716,5044,4196,2895,2063,4304,4531,4232,4357,3799,2502,3268,3363,3807,3587,3378,3818,8204,10232,8204,9667,8934,11935,11210,8828,10962,11602,6953,4202,5298,7804,5533,3821,4025,5417,7681,9716,8666,11837,8173,7671,5810,4041,4906,5487,7037,7329,6798,5628,4127,6632,2328,2577,5696,5932,6324,6587,7819,7619,7085,5921,7339,6797,6734,3797,9202,8365,7257,6521,6275,7526,8529,8960,9925,7559,7895,4802,5146,7116,12471,5977,3537,4387,5002,4988,7519,6893,5385,3143,4763,6886,7978,8613,8830,9696,9937,10085,10374,10530,8631,4657,16064,21855,14011,12582,12622,14577,15254,12171,12870,10401,5809,4043,9437,8578,7767,9428,8438,6620,7048,5725,6192,6630,4174,2089,3520,3795,4536,12550,8086,7680,6876,6573,8411,8250,6788,3715,7465,8375,7396,8019,7063,8288,8969,8232,9069,9437,6224,495,3615,8173,8859,9776,7498,7898,8367,7684,8917,0,0,0,0,0,0,0,0
3,石家庄,301,321,279,707,196,592,830,652,763,1275,911,1367,588,362,711,1161,1772,2397,2633,1326,1851,1497,1606,2664,657,543,793,466,648,900,640,688,646,469,575,1184,719,1141,1984,2119,2047,3877,3357,3499,3939,3366,3522,8077,2059,2039,4946,4096,3768,3727,3686,4880,5093,4319,3932,2724,3040,5636,3102,3390,3828,4385,2686,3142,2392,2471,2182,2025,1079,1428,2456,2121,1890,3031,4221,4549,3370,3969,4807,4645,3360,1424,2794,3492,3355,2532,3829,4014,2792,2006,2139,1383,2109,1368,1722,1517,1744,2882,3796,3646,3819,5041,6527,7559,6706,2787,4258,4175,6224,4785,3860,4348,5230,3788,4256,3722,4722,3081,7245,7758,4626,5847,3729,3626,3698,5804,5055,2687,1430,859,1971,2871,3324,3412,4280,4071,5022,4213,4405,40658,2443,1900,2087,2269,2542,2585,3305,3386,3220,3771,3399,3202,3723,2525,3576,3480,4064,5465,4621,6150,5076,2649,3338,3625,4397,884,1765,3229,4039,3868,4682,4601,4545,3547,4308,0,0,0,0,0,0,0,0
4,太原,715,318,579,572,884,1245,489,972,1146,865,991,1087,1163,319,372,1530,802,617,938,950,1045,747,740,597,530,217,424,822,1234,1064,812,947,1098,552,1557,1975,1197,961,1383,1286,1361,1306,1718,1602,2092,1219,1706,2186,2161,761,1954,2006,1213,1794,1331,1414,1856,1698,2179,2520,1842,752,1855,1566,1334,1878,1509,1272,1504,1097,1109,2330,1130,1408,1818,1462,1820,2169,1966,2207,1933,1620,2396,2116,2382,915,2431,1914,2336,2450,3257,2523,2345,1920,2304,1516,2167,993,1754,3263,3131,3489,4495,6085,4242,2917,3093,3203,2740,1998,558,6475,1651,4372,4147,3756,4487,4153,5608,4638,6262,1582,4744,5882,5406,5896,5827,6304,6003,7499,9141,19509,4050,7156,5587,5624,4596,4931,4524,5255,5021,2847,2862,4140,5296,4532,6642,9235,7939,8270,8163,9293,10653,9028,9229,7079,5879,2085,4636,5249,5386,6547,4002,5151,6346,5324,6372,6156,4973,813,2872,4516,5504,6334,6117,7866,6894,6617,7833,0,0,0,0,0,0,0,0
5,呼和浩特,134,75,185,154,109,157,201,260,333,377,410,717,189,131,238,318,269,351,362,361,193,108,203,138,98,24,183,173,88,139,270,419,427,232,174,260,35,60,275,339,174,453,742,172,369,568,113,509,390,710,547,985,877,654,561,508,377,370,434,2855,1127,3153,39838,2751,1560,2261,1536,944,1518,1329,2538,3039,1168,818,930,1107,1022,1188,1325,1161,1044,1158,1208,992,862,279,1482,1542,1350,1001,1025,1361,1196,1166,630,333,107,98,199,719,909,937,1416,1468,1289,1111,1397,1298,1453,939,1205,1912,625,2126,2519,2170,1973,1845,2508,2444,1912,1100,2379,2827,3558,3020,3065,3698,1732,2866,3339,3569,2597,1458,3020,3544,3587,2847,2668,2788,2933,2306,2777,2694,2538,1113,2358,2685,3552,2858,3311,2823,1906,669,2206,2785,556,1857,2443,2692,2202,2507,2229,2546,2401,2321,6185,5682,2472,0,1358,1732,2375,3900,4211,4767,5020,3143,5456,0,0,0,0,0,0,0,0
6,沈阳,1128,1378,2221,13198,4320,4431,7893,3768,15293,6031,11455,6572,6739,3238,4388,15821,5364,9405,5955,8462,21388,9002,13587,10522,8956,2946,7627,8241,8127,7960,10245,6802,15606,5814,5848,9533,2211,3116,9706,8108,8120,14487,10342,11224,16656,9789,8297,8008,2830,3785,5638,8174,8372,8468,10778,12542,14480,18642,16193,10609,11839,12226,11738,8012,8508,10671,10378,13400,11593,14039,12178,7274,4295,4517,6411,7737,9560,9611,7876,12009,8824,12381,11788,11330,6053,4726,12843,13878,9705,9638,11814,11212,13843,13435,12344,10459,7994,4790,7290,7641,8183,6213,7369,8319,7943,8950,13417,11861,9342,5459,6570,10489,8710,9132,7292,11757,9707,11357,12696,15872,9023,4282,10050,13468,8943,11302,8065,10134,14945,12853,13869,11716,5533,7262,10476,14355,28258,10876,11117,9666,11289,9938,10656,11230,7456,4717,7077,13692,10220,12206,15448,10467,8199,6902,11062,9844,6421,3955,9620,11707,10804,13515,15988,15001,13126,9350,12857,12701,6875,817,7598,9272,23424,13050,11490,11543,5559,5684,5792,0,0,0,0,0,0,0,0
7,大连,1546,1441,1842,1610,1946,2427,1414,1275,1222,957,2128,3057,1731,781,1124,1913,1588,1500,1814,2180,2963,3995,3152,1860,2090,1239,1740,1754,1926,1791,2173,1482,1508,1097,653,870,898,350,1126,1481,3042,3935,4610,5625,4681,1696,7131,5441,2946,889,2270,3982,2259,1313,1149,1778,1774,3391,2274,2515,829,1250,2882,423,1843,1103,1718,1190,847,971,896,573,323,277,799,615,1223,1087,1465,1575,1402,1873,1636,1725,1354,544,1438,1419,1713,1695,1430,1256,1231,1203,1600,1801,933,530,944,814,1046,1234,1261,947,980,1188,1826,1941,1040,602,1087,1185,1834,2010,1755,2100,1375,1558,2432,3748,1144,461,1290,1765,1556,1393,1378,1094,1252,1419,2523,1841,711,697,1418,2237,1492,1182,1029,1197,1083,925,1021,1004,898,486,1075,1420,1139,725,501,326,286,293,361,192,181,206,1029,1186,1126,1798,1721,1133,835,1063,1344,1890,415,0,484,836,889,1287,1911,1031,1352,1223,1119,0,0,0,0,0,0,0,0
8,长春,592,823,1776,1463,2066,2066,1225,3228,2870,3632,3315,2241,2758,1088,2353,2626,2622,4791,5011,5498,4481,5578,4773,3213,2758,1209,2819,2708,4273,5446,6806,4779,4434,4719,3815,3332,2185,2492,6214,6494,6744,7012,7176,6258,6772,6574,8042,6471,3834,2315,4737,4481,3119,4368,5526,5850,5146,6218,7234,7184,3550,1474,3589,8158,6521,4364,5257,5423,5191,5107,4671,3604,1614,2521,4066,3786,5341,5979,6709,6026,6910,5924,7477,5438,6137,3027,7841,6997,6436,5579,5874,6064,6496,6377,7449,6785,4322,3690,6097,5981,5793,5416,5848,5913,6136,5176,6334,6672,4669,2314,3840,5340,5917,7213,7160,6499,6352,5182,6242,5955,3962,2197,5845,6739,5710,5604,5347,5117,7536,6846,6611,6353,3266,2788,5165,5682,5905,6086,6591,6758,6458,5248,6168,4474,4538,3018,4547,5275,4180,5182,5616,5140,7854,5481,5932,7959,6211,3044,4848,4564,4464,5562,5193,5488,6226,4372,4555,3742,2771,495,3021,3131,2963,4242,3764,3993,4807,4150,3189,0,0,0,0,0,0,0,0
9,哈尔滨,609,891,1205,1256,1448,1345,853,1033,1480,1985,2046,2141,1725,888,1313,1911,2669,2537,3821,2786,4025,3639,3066,3038,1561,844,1300,1320,2041,1084,1391,1469,2350,1999,2164,2228,600,1698,1618,2071,2439,4130,4904,2180,3305,2471,2702,6035,1410,2094,3290,4247,1136,7605,2352,2447,2471,2662,3767,4464,7337,20076,1244,2460,2949,2466,9069,4184,3107,3115,2830,3952,1023,2020,2055,2951,2864,4386,5300,2909,4180,8062,9312,3748,4021,1615,5483,5680,4217,4199,3643,5640,5634,5680,4313,6122,3495,1744,4393,3556,3957,3831,3933,3450,4984,3877,4831,4751,3374,2041,2725,4973,5354,5835,5393,4510,6067,4974,4405,3391,3248,2626,4416,6648,4994,4994,7717,5929,5590,5588,5853,6652,3140,3853,5254,6459,5364,9316,5658,5198,8801,6852,6118,4026,3768,3392,3024,4850,4083,5377,5679,5088,8262,4530,5500,4044,3054,2412,4085,3803,3166,3994,3689,6821,7967,7430,7525,4851,2912,0,2041,3443,3322,3827,4562,4736,6267,4596,5349,0,0,0,0,0,0,0,0
10,上海,4050,4062,10606,15195,15350,9089,8031,8683,10286,9517,9415,8031,10285,5682,11761,12571,17691,20145,15471,17654,15831,13998,13150,9696,9679,4179,9804,9459,8871,8289,6518,6339,4783,3976,5991,8036,4351,6518,13082,16463,15023,17056,15132,10130,7621,8882,9977,10246,4428,1650,3571,5473,2255,3185,3673,6083,11000,9306,7187,9690,7732,1437,3147,5344,6644,6259,6045,4451,4131,3493,3910,4842,1580,3138,6117,4422,5955,7542,6501,5862,5967,6886,7305,9165,7600,3600,11559,6189,6783,8406,5561,6757,8678,8925,7961,5299,4736,2644,5859,4793,3579,5060,5293,4444,4903,7379,7379,8036,5171,3722,4521,6896,8758,9354,7660,7975,8843,9031,9832,11507,8306,5404,13568,6904,5949,8012,8348,8080,7023,5106,2943,3544,2342,2441,3666,4828,4046,3704,4544,2680,3180,1739,2175,2624,3506,2039,2852,3390,3784,2857,4633,5273,6357,3458,3507,3194,3719,2661,3626,5128,2613,2361,4581,4843,3738,7154,4866,4375,4123,639,2320,3706,6465,5826,5535,6206,7905,6769,6763,0,0,0,0,0,0,0,0
